period,period_label,requested_start,aligned_start,aligned_end,ticker,start,end,start_price,end_price,performance,cagr,sortino,sortino_weight,max_drawdown,current_drawdown,volatility
ytd,YTD,2026-01-01,2026-01-02,2026-06-17,SOXX,2026-01-02,2026-06-17,313.34805298,599.72998047,0.91394194,3.17184523,5.25412807,0.38059362,-0.15766065,-0.04569979,0.46351168
ytd,YTD,2026-01-01,2026-01-02,2026-06-17,SMH,2026-01-02,2026-06-17,373.29998779,623.96997070,0.67149743,2.09670454,4.70541696,0.34084660,-0.14931013,-0.03574410,0.40411536
ytd,YTD,2026-01-01,2026-01-02,2026-06-17,TSM,2026-01-02,2026-06-17,317.96728516,432.14999390,0.35910207,0.96424065,2.86463074,0.20750544,-0.18141019,-0.03028493,0.41244974
ytd,YTD,2026-01-01,2026-01-02,2026-06-17,NVDA,2026-01-02,2026-06-17,188.61994934,204.64999390,0.08498594,0.19658545,0.98091138,0.07105434,-0.15535412,-0.13087086,0.38343176
1y,1Y,2025-06-18,2025-06-18,2026-06-17,SOXX,2025-06-18,2026-06-17,225.50770569,599.72998047,1.65946558,1.66841360,4.31308130,0.31483763,-0.15766065,-0.04569979,0.38066924
1y,1Y,2025-06-18,2025-06-18,2026-06-17,SMH,2025-06-18,2026-06-17,261.77545166,623.96997070,1.38360766,1.39072829,4.24058285,0.30954553,-0.14931013,-0.03574410,0.33725802
1y,1Y,2025-06-18,2025-06-18,2026-06-17,TSM,2025-06-18,2026-06-17,211.16464233,432.14999390,1.04650736,1.05154643,3.41559911,0.24932503,-0.18141019,-0.03028493,0.37030412
1y,1Y,2025-06-18,2025-06-18,2026-06-17,NVDA,2025-06-18,2026-06-17,145.28648376,204.64999390,0.40859623,0.41025441,1.73011986,0.12629181,-0.20214385,-0.13087086,0.35199554
2y,2Y,2024-06-18,2024-06-18,2026-06-17,TSM,2024-06-18,2026-06-17,175.18478394,432.14999390,1.46682380,0.57207224,1.94382383,0.29530881,-0.36817376,-0.03028493,0.41642162
2y,2Y,2024-06-18,2024-06-18,2026-06-17,SOXX,2024-06-18,2026-06-17,256.15432739,599.72998047,1.34128381,0.53146518,1.83693479,0.27907006,-0.41361049,-0.04569979,0.41235490
2y,2Y,2024-06-18,2024-06-18,2026-06-17,SMH,2024-06-18,2026-06-17,274.68405151,623.96997070,1.27159155,0.50845277,1.83174970,0.27828233,-0.35738766,-0.03574410,0.38766398
2y,2Y,2024-06-18,2024-06-18,2026-06-17,NVDA,2024-06-18,2026-06-17,135.35690308,204.64999390,0.51192875,0.23012818,0.96983449,0.14733880,-0.36881038,-0.13087086,0.48140353
3y,3Y,2023-06-18,2023-06-20,2026-06-17,NVDA,2023-06-20,2026-06-17,43.72282791,204.64999390,3.68062117,0.67493000,2.03275939,0.23751312,-0.36881038,-0.13087086,0.46907870
