date,adjusted_close
1997-10-09,3.12290406
1997-10-10,3.26723957
1997-10-13,3.19507241
1997-10-14,3.06385803
1997-10-15,2.97856903
1997-10-16,2.88671875
1997-10-17,2.63741159
1997-10-20,2.30937481
1997-10-21,2.63741159
1997-10-22,2.32905698
1997-10-23,2.19128084
1997-10-24,2.07318878
1997-10-27,1.79763722
1997-10-28,2.20440340
1997-10-29,2.00102091
1997-10-30,1.94853497
1997-10-31,2.07318878
1997-11-03,2.38154197
1997-11-04,2.38154197
1997-11-05,2.57180333
1997-11-06,2.55868244
1997-11-07,2.49963593
1997-11-10,2.51275635
1997-11-11,2.46027088
1997-11-12,2.32249618
1997-11-13,2.30281401
1997-11-14,2.30281401
1997-11-17,2.46683192
1997-11-18,2.30937481
1997-11-19,2.24376726
1997-11-20,2.19128084
1997-11-21,2.30281401
1997-11-24,2.25032854
1997-11-25,2.30937481
1997-11-26,2.27001047
1997-11-28,2.30937481
1997-12-01,2.20440340
1997-12-02,2.20440340
1997-12-03,2.21752405
1997-12-04,2.30937481
1997-12-05,2.31593490
1997-12-08,2.41434598
1997-12-09,2.30937481
1997-12-10,2.21096468
1997-12-11,2.11255360
1997-12-12,2.09287024
1997-12-15,1.91573131
1997-12-16,1.97477746
1997-12-17,1.90917039
1997-12-18,1.83700240
1997-12-19,1.94853497
1997-12-22,1.92885244
1997-12-23,1.86980653
1997-12-24,1.86324525
1997-12-26,1.88948786
1997-12-29,1.90261018
1997-12-30,1.96821654
1997-12-31,1.90917039
1998-01-02,1.93541348
1998-01-05,1.92885244
1998-01-06,1.88948786
1998-01-07,1.70578778
1998-01-08,1.62705886
1998-01-09,1.52864802
1998-01-12,1.58113408
1998-01-13,1.76483464
1998-01-14,1.79763722
1998-01-15,1.77139509
1998-01-16,1.83044124
1998-01-20,1.93541348
1998-01-21,1.97477746
1998-01-22,2.02726364
1998-01-23,2.07318878
1998-01-26,2.23064613
1998-01-27,2.29625273
1998-01-28,2.41434598
1998-01-29,2.30937481
1998-01-30,2.49307466
1998-02-02,2.57180333
1998-02-03,2.74238205
1998-02-04,2.59148574
1998-02-05,2.61116767
1998-02-06,2.59804726
1998-02-09,2.50619698
1998-02-10,2.58492398
1998-02-11,2.66365361
1998-02-12,2.78174615
1998-02-13,2.71613932
1998-02-17,2.81455040
1998-02-18,2.86047578
1998-02-19,2.92608261
1998-02-20,2.84735441
1998-02-23,2.78174615
1998-02-24,2.84079289
1998-02-25,3.05073714
